"","Subj_idx","Accuracy","Response","Confidence"
"1",1,1,"Option 6",80
"2",1,0,"Option 9",60
"3",1,1,"Option 4",80
"4",1,1,"Option 7",100
"5",1,1,"Option 9",60
"6",1,1,"Option 6",80
"7",1,0,"Option 2",60
"8",1,1,"Option 3",60
"9",1,1,"Option 7",40
"10",1,1,"Option 4",80
"11",1,0,"Option 5",40
"12",1,1,"Option 7",60
"13",1,0,"Option 3",0
"14",1,0,"Option 2",0
"15",1,1,"Option 7",20
"16",1,1,"Option 5",60
"17",1,0,"Option 9",20
"18",1,1,"Option 2",20
"19",1,1,"Option 4",40
"20",1,0,"Option 7",0
"21",2,1,"Option 6",80
"22",2,1,"Option 8",80
"23",2,1,"Option 4",100
"24",2,1,"Option 7",100
"25",2,1,"Option 9",100
"26",2,1,"Option 6",100
"27",2,1,"Option 3",80
"28",2,1,"Option 3",60
"29",2,0,"Option 4",40
"30",2,0,"Option 9",100
"31",2,1,"Option 9",60
"32",2,1,"Option 7",80
"33",2,0,"Option 2",40
"34",2,0,"Option 7",40
"35",2,0,"Option 6",60
"36",2,0,"Option 9",80
"37",2,0,"Option 2",20
"38",2,0,"Option 5",40
"39",2,0,"Option 9",40
"40",2,0,"Option 4",40
"41",3,1,"Option 6",40
"42",3,1,"Option 8",100
"43",3,0,"Option 7",60
"44",3,0,"Option 3",100
"45",3,1,"Option 9",100
"46",3,1,"Option 6",100
"47",3,1,"Option 3",100
"48",3,1,"Option 3",100
"49",3,1,"Option 7",80
"50",3,0,"Option 9",80
"51",3,1,"Option 9",100
"52",3,1,"Option 7",100
"53",3,0,"Option 6",40
"54",3,0,"Option 5",20
"55",3,0,"Option 8",40
"56",3,1,"Option 5",80
"57",3,0,"Option 2",80
"58",3,0,"Option 3",40
"59",3,1,"Option 4",80
"60",3,1,"Option 3",60
"61",4,1,"Option 6",100
"62",4,1,"Option 8",100
"63",4,1,"Option 4",80
"64",4,1,"Option 7",100
"65",4,1,"Option 9",80
"66",4,1,"Option 6",100
"67",4,0,"Option 6",80
"68",4,0,"Option 8",80
"69",4,1,"Option 7",80
"70",4,1,"Option 4",80
"71",4,1,"Option 9",100
"72",4,1,"Option 7",80
"73",4,1,"Option 8",100
"74",4,1,"Option 8",100
"75",4,1,"Option 7",80
"76",4,1,"Option 5",100
"77",4,0,"Option 4",0
"78",4,1,"Option 2",80
"79",4,1,"Option 4",80
"80",4,0,"Option 2",40
"81",5,1,"Option 6",80
"82",5,1,"Option 8",100
"83",5,1,"Option 4",100
"84",5,1,"Option 7",100
"85",5,0,"Option 6",80
"86",5,1,"Option 6",80
"87",5,0,"Option 6",100
"88",5,1,"Option 3",80
"89",5,1,"Option 7",100
"90",5,0,"Option 6",100
"91",5,0,"Option 5",60
"92",5,0,"Option 2",40
"93",5,0,"Option 9",80
"94",5,0,"Option 5",60
"95",5,0,"Option 6",80
"96",5,0,"Option 4",80
"97",5,0,"Option 8",80
"98",5,0,"Option 3",80
"99",5,1,"Option 4",80
"100",5,0,"Option 2",60
"101",6,1,"Option 6",100
"102",6,1,"Option 8",100
"103",6,1,"Option 4",100
"104",6,1,"Option 7",100
"105",6,1,"Option 9",100
"106",6,1,"Option 6",100
"107",6,1,"Option 3",100
"108",6,1,"Option 3",100
"109",6,1,"Option 7",80
"110",6,1,"Option 4",80
"111",6,1,"Option 9",100
"112",6,1,"Option 7",100
"113",6,1,"Option 8",100
"114",6,1,"Option 8",80
"115",6,0,"Option 3",60
"116",6,1,"Option 5",80
"117",6,0,"Option 8",80
"118",6,1,"Option 2",60
"119",6,1,"Option 4",100
"120",7,1,"Option 6",100
"121",7,1,"Option 8",100
"122",7,1,"Option 4",80
"123",7,0,"Option 3",80
"124",7,0,"Option 4",0
"125",7,1,"Option 6",60
"126",7,1,"Option 3",100
"127",7,1,"Option 3",80
"128",7,1,"Option 7",100
"129",7,1,"Option 4",100
"130",7,0,"Option 2",80
"131",7,0,"Option 6",0
"132",7,0,"Option 9",20
"133",7,1,"Option 8",0
"134",7,0,"Option 3",0
"135",7,0,"Option 9",80
"136",7,0,"Option 3",0
"137",7,0,"Option 9",0
"138",7,0,"Option 7",40
"139",7,0,"Option 8",0
"140",8,1,"Option 6",40
"141",8,1,"Option 8",40
"142",8,1,"Option 4",80
"143",8,1,"Option 7",80
"144",8,1,"Option 9",80
"145",8,1,"Option 6",60
"146",8,1,"Option 3",80
"147",8,1,"Option 3",80
"148",8,1,"Option 7",80
"149",8,1,"Option 4",80
"150",8,1,"Option 9",80
"151",8,1,"Option 7",80
"152",8,0,"Option 2",20
"153",8,0,"Option 2",40
"154",8,0,"Option 8",20
"155",8,0,"Option 7",20
"156",8,1,"Option 6",40
"157",8,0,"Option 6",20
"158",8,1,"Option 4",80
"159",8,0,"Option 9",20
"160",9,1,"Option 6",60
"161",9,1,"Option 8",60
"162",9,1,"Option 4",60
"163",9,1,"Option 7",80
"164",9,0,"Option 8",20
"165",9,1,"Option 6",60
"166",9,0,"Option 2",0
"167",9,0,"Option 5",80
"168",9,0,"Option 4",40
"169",9,1,"Option 4",40
"170",9,0,"Option 5",40
"171",9,1,"Option 7",60
"172",9,0,"Option 2",20
"173",9,0,"Option 5",20
"174",9,1,"Option 7",0
"175",9,1,"Option 5",20
"176",9,0,"Option 5",0
"177",9,0,"Option 4",20
"178",10,0,"Option 9",80
"179",10,1,"Option 8",100
"180",10,1,"Option 4",100
"181",10,1,"Option 7",80
"182",10,1,"Option 9",20
"183",10,1,"Option 6",100
"184",10,1,"Option 3",80
"185",10,1,"Option 3",80
"186",10,1,"Option 7",80
"187",10,0,"Option 6",20
"188",10,1,"Option 9",60
"189",10,0,"Option 6",60
"190",10,0,"Option 5",60
"191",10,0,"Option 7",20
"192",10,1,"Option 7",60
"193",10,0,"Option 6",80
"194",10,0,"Option 7",60
"195",10,0,"Option 6",20
"196",10,0,"Option 5",0
"197",10,0,"Option 6",40
"198",11,1,"Option 6",60
"199",11,1,"Option 8",100
"200",11,1,"Option 4",80
"201",11,0,"Option 3",40
"202",11,1,"Option 9",60
"203",11,1,"Option 6",100
"204",11,0,"Option 6",100
"205",11,1,"Option 3",80
"206",11,1,"Option 7",60
"207",11,1,"Option 4",80
"208",11,0,"Option 5",0
"209",11,1,"Option 7",40
"210",11,0,"Option 2",40
"211",11,0,"Option 6",40
"212",11,0,"Option 3",20
"213",11,0,"Option 9",60
"214",11,1,"Option 6",20
"215",11,0,"Option 5",80
"216",11,0,"Option 2",80
"217",11,0,"Option 5",20
"218",12,1,"Option 6",20
"219",12,1,"Option 8",40
"220",12,1,"Option 4",60
"221",12,1,"Option 7",20
"222",12,0,"Option 2",40
"223",12,1,"Option 6",60
"224",12,0,"Option 9",60
"225",12,1,"Option 3",20
"226",12,0,"Option 4",60
