"","Subj_idx","Accuracy","Response","Confidence"
"1",1,1,1,10
"2",1,1,2,10
"3",1,1,1,10
"4",1,1,1,10
"5",1,1,2,8
"6",1,1,2,7
"7",1,1,1,10
"8",1,1,2,10
"9",1,0,2,9
"10",1,1,1,10
"11",1,1,2,8
"12",1,1,1,10
"13",1,1,1,10
"14",1,1,2,8
"15",1,1,1,7
"16",1,1,2,10
"17",1,0,2,7
"18",1,1,2,10
"19",1,1,1,10
"20",1,1,1,10
"21",1,0,1,6
"22",1,1,2,10
"23",1,1,1,10
"24",1,1,2,6
"25",1,1,2,10
"26",1,0,2,8
"27",1,1,1,10
"28",1,1,1,10
"29",1,1,1,10
"30",1,0,2,9
"31",1,1,2,10
"32",1,1,1,10
"33",1,1,1,10
"34",1,1,1,10
"35",1,1,1,7
"36",1,0,1,6
"37",1,1,2,9
"38",1,1,1,4
"39",1,1,2,9
"40",1,0,2,9
"41",1,1,1,10
"42",1,1,1,10
"43",1,1,1,10
"44",1,0,2,7
"45",1,0,1,9
"46",1,1,2,10
"47",1,1,1,10
"48",1,1,1,10
"49",1,1,2,7
"50",1,1,2,9
"51",1,1,2,6
"52",1,1,1,10
"53",1,1,1,10
"54",1,1,2,8
"55",1,1,1,10
"56",1,0,1,4
"57",1,0,2,6
"58",1,1,1,10
"59",1,1,1,10
"60",1,1,2,10
"61",1,1,1,10
"62",1,1,2,10
"63",1,0,2,8
"64",1,1,1,10
"65",1,1,2,6
"66",1,1,1,10
"67",1,1,1,10
"68",1,1,2,10
"69",1,1,1,9
"70",1,1,2,10
"71",1,1,2,9
"72",1,0,2,7
"73",1,1,1,10
"74",1,1,2,9
"75",1,1,2,4
"76",1,1,1,10
"77",1,1,1,10
"78",1,0,2,7
"79",1,1,1,10
"80",1,1,2,8
"81",1,1,2,8
"82",1,1,1,10
"83",1,1,1,10
"84",1,0,1,4
"85",1,0,2,8
"86",1,1,1,10
"87",1,1,2,5
"88",1,1,1,10
"89",1,1,2,4
"90",1,1,1,10
"91",1,1,2,7
"92",1,0,2,8
"93",1,1,2,7
"94",1,1,1,10
"95",1,1,1,10
"96",1,1,2,10
"97",1,1,1,10
"98",1,0,2,10
"99",1,1,2,8
"100",1,1,1,10
"101",1,1,1,10
"102",1,0,2,10
"103",1,0,1,6
"104",1,1,2,7
"105",1,1,2,6
"106",1,1,1,10
"107",1,1,1,10
"108",1,1,1,10
"109",1,1,2,6
"110",1,1,1,6
"111",1,0,1,7
"112",1,1,2,10
"113",1,0,2,9
"114",1,1,1,10
"115",1,1,1,10
"116",1,1,1,10
"117",1,0,1,4
