"","Subj_idx","Accuracy","Response","Confidence"
"1",5,1,1,2
"2",5,1,2,2
"3",5,1,1,2
"4",5,1,1,4
"5",5,1,2,4
"6",5,1,2,3
"7",5,1,2,2
"8",5,0,4,2
"9",5,1,2,2
"10",5,0,4,2
"11",5,1,2,2
"12",5,1,1,2
"13",5,1,2,4
"14",5,1,2,2
"15",5,1,2,3
"16",5,1,1,3
"17",5,1,2,2
"18",5,1,2,3
"19",5,1,2,2
"20",5,0,4,2
"21",5,1,1,4
"22",5,1,1,4
"23",5,0,4,2
"24",5,1,1,4
"25",5,1,2,2
"26",5,1,1,3
"27",5,0,4,2
"28",5,1,2,2
"29",5,1,1,4
"30",5,1,2,3
"31",5,1,2,3
"32",5,1,2,2
"33",5,1,1,3
"34",5,1,2,3
"35",5,1,2,4
"36",5,1,1,4
"37",5,1,2,4
"38",5,1,2,4
"39",5,1,1,2
"40",5,1,2,2
"41",5,1,2,4
"42",5,0,3,2
"43",5,1,1,2
"44",5,0,4,2
"45",5,1,1,4
"46",5,1,1,4
"47",5,1,2,4
"48",5,1,2,2
"49",5,1,2,2
"50",5,1,1,2
"51",5,1,1,2
"52",5,1,2,1
"53",5,1,2,1
"54",5,1,1,3
"55",5,1,2,3
"56",5,1,2,3
"57",5,1,1,2
"58",5,1,2,2
"59",5,1,1,2
"60",5,1,1,4
"61",5,1,2,4
"62",5,1,1,2
"63",5,1,2,4
"64",5,1,2,4
"65",5,0,4,3
"66",5,1,1,4
"67",5,1,2,4
"68",5,1,1,4
"69",5,1,1,4
"70",5,0,4,4
"71",5,1,1,2
"72",5,1,2,2
"73",5,1,2,3
"74",5,1,1,2
"75",5,1,1,2
"76",5,1,1,4
"77",5,0,4,2
"78",5,1,1,2
"79",5,1,2,2
"80",5,1,2,4
"81",5,1,2,2
"82",5,0,4,2
"83",5,1,1,2
"84",5,1,1,4
"85",5,1,2,4
"86",5,0,4,2
"87",5,1,2,2
"88",5,1,2,4
"89",5,1,1,4
"90",5,1,1,2
"91",5,1,2,3
"92",5,1,2,2
"93",5,1,1,4
"94",5,1,2,4
"95",5,1,1,2
"96",5,1,2,4
"97",5,1,1,4
