"","Subj_idx","Accuracy","Response","Confidence"
"1",1,1,"probe_right",3
"2",1,0,"probe_left",3
"3",1,0,"probe_right",1
"4",1,1,"probe_left",2
"5",1,0,"probe_right",2
"6",1,1,"probe_right",2
"7",1,1,"probe_left",1
"8",1,1,"probe_right",3
"9",1,1,"probe_right",2
"10",1,0,"probe_left",2
"11",1,1,"probe_right",2
"12",1,0,"probe_left",2
"13",1,1,"probe_right",2
"14",1,0,"probe_left",2
"15",1,1,"probe_left",2
"16",1,0,"probe_left",2
"17",1,1,"probe_right",2
"18",1,1,"probe_left",2
"19",1,1,"probe_left",1
"20",1,0,"probe_left",1
"21",1,0,"probe_right",2
"22",1,1,"probe_left",2
"23",1,0,"probe_right",1
"24",1,1,"probe_left",2
"25",1,1,"probe_left",2
"26",1,1,"probe_right",3
"27",1,0,"probe_right",1
"28",1,1,"probe_left",3
"29",1,0,"probe_right",2
"30",1,1,"probe_left",2
"31",1,1,"probe_left",3
"32",1,1,"probe_left",4
"33",1,0,"probe_left",2
"34",1,1,"probe_right",2
"35",1,1,"probe_left",4
"36",1,1,"probe_right",1
"37",1,1,"probe_right",1
"38",1,0,"probe_right",1
"39",1,0,"probe_left",2
"40",1,0,"probe_left",1
"41",1,1,"probe_left",3
"42",1,1,"probe_right",3
"43",1,1,"probe_right",3
"44",1,0,"probe_left",3
"45",1,0,"probe_right",2
"46",1,1,"probe_right",1
"47",1,1,"probe_left",3
"48",1,1,"probe_left",2
"49",1,0,"probe_left",1
"50",1,0,"probe_right",2
"51",1,1,"probe_left",3
"52",1,1,"probe_right",4
"53",1,1,"probe_left",3
"54",1,1,"probe_right",2
"55",1,1,"probe_right",3
"56",1,1,"probe_right",2
"57",1,0,"probe_right",2
"58",1,1,"probe_left",2
"59",1,1,"probe_left",2
"60",1,0,"probe_right",2
"61",1,0,"probe_left",1
"62",1,0,"probe_left",1
"63",1,0,"probe_right",2
"64",1,0,"probe_left",1
"65",1,0,"probe_left",1
"66",1,1,"probe_left",3
"67",1,1,"probe_right",1
"68",1,1,"probe_left",1
"69",1,0,"probe_left",2
"70",1,0,"probe_right",3
"71",1,1,"probe_left",2
"72",1,0,"probe_left",2
"73",1,1,"probe_right",2
"74",1,0,"probe_right",2
"75",1,1,"probe_left",2
"76",1,1,"probe_left",1
"77",1,1,"probe_left",4
"78",1,1,"probe_right",3
"79",1,1,"probe_right",2
"80",1,0,"probe_left",2
"81",1,1,"probe_left",2
"82",1,0,"probe_right",1
"83",1,1,"probe_right",2
"84",1,0,"probe_left",1
"85",1,1,"probe_left",4
"86",1,1,"probe_right",2
"87",1,1,"probe_right",2
"88",1,0,"probe_right",2
"89",1,0,"probe_left",2
"90",1,1,"probe_right",1
"91",1,1,"probe_left",3
"92",1,0,"probe_right",2
"93",1,0,"probe_left",2
"94",1,1,"probe_left",2
"95",1,0,"probe_left",1
"96",1,1,"probe_left",2
"97",1,1,"probe_right",2
"98",1,1,"probe_left",3
"99",1,1,"probe_left",3
"100",1,1,"probe_right",1
"101",1,0,"probe_left",2
"102",1,1,"probe_left",3
"103",1,1,"probe_right",2
"104",1,1,"probe_left",2
"105",1,1,"probe_left",2
"106",1,1,"probe_left",2
"107",1,0,"probe_left",3
"108",1,1,"probe_left",2
"109",1,1,"probe_left",4
"110",1,0,"probe_left",2
"111",1,1,"probe_left",3
"112",1,0,"probe_left",1
"113",1,1,"probe_right",1
"114",1,1,"probe_right",2
"115",1,0,"probe_left",2
"116",1,1,"probe_right",1
"117",1,1,"probe_left",1
"118",1,1,"probe_left",3
"119",1,0,"probe_right",2
"120",1,0,"probe_left",2
"121",1,0,"probe_right",1
"122",1,1,"probe_left",2
"123",1,0,"probe_left",1
"124",1,1,"probe_left",3
"125",1,0,"probe_right",2
"126",1,1,"probe_right",4
"127",1,0,"probe_left",1
"128",1,1,"probe_right",2
"129",1,1,"probe_left",2
"130",1,1,"probe_right",1
"131",1,1,"probe_left",4
"132",1,1,"probe_right",2
"133",1,0,"probe_left",2
"134",1,1,"probe_left",2
"135",1,1,"probe_right",1
"136",1,1,"probe_left",2
"137",1,1,"probe_left",1
"138",1,1,"probe_left",2
"139",1,0,"probe_right",1
"140",1,0,"probe_right",1
"141",1,0,"probe_left",2
"142",1,0,"probe_left",2
"143",1,1,"probe_left",1
"144",1,1,"probe_left",3
"145",1,1,"probe_left",2
"146",1,1,"probe_right",3
"147",1,0,"probe_left",1
"148",1,0,"probe_left",1
"149",1,0,"probe_left",2
"150",1,0,"probe_left",1
"151",1,0,"probe_left",1
"152",1,1,"probe_left",2
"153",1,1,"probe_left",1
"154",1,0,"probe_left",1
"155",1,1,"probe_right",2
"156",1,1,"probe_right",4
"157",1,1,"probe_left",2
"158",1,1,"probe_right",1
"159",1,1,"probe_left",2
"160",1,1,"probe_left",2
"161",1,0,"probe_right",2
"162",1,1,"probe_right",1
"163",1,1,"probe_left",2
"164",1,1,"probe_left",2
"165",1,1,"probe_left",3
"166",1,1,"probe_left",2
"167",1,1,"probe_right",2
"168",1,1,"probe_right",1
"169",1,0,"probe_right",1
"170",1,0,"probe_left",1
"171",1,1,"probe_right",2
"172",1,0,"probe_left",2
"173",1,1,"probe_right",2
"174",1,0,"probe_left",2
"175",1,0,"probe_left",1
"176",1,0,"probe_left",1
"177",1,1,"probe_left",3
"178",1,1,"probe_right",2
"179",1,1,"probe_right",4
"180",1,0,"probe_left",1
"181",1,1,"probe_left",2
"182",1,1,"probe_right",1
"183",1,1,"probe_left",1
"184",1,0,"probe_left",2
"185",1,1,"probe_left",3
"186",1,1,"probe_left",2
"187",1,0,"probe_left",1
"188",1,1,"probe_left",2
"189",1,0,"probe_left",2
"190",1,1,"probe_right",1
"191",1,1,"probe_right",1
"192",1,0,"probe_right",1
"193",1,1,"probe_left",1
"194",1,1,"probe_left",2
"195",1,1,"probe_left",1
"196",1,0,"probe_right",1
"197",1,1,"probe_left",3
"198",1,0,"probe_left",1
"199",1,1,"probe_left",2
"200",1,1,"probe_left",1
"201",1,0,"probe_left",1
"202",1,0,"probe_left",3
"203",1,1,"probe_left",3
"204",1,1,"probe_left",1
"205",1,1,"probe_right",2
"206",1,1,"probe_right",2
"207",1,0,"probe_left",2
"208",1,1,"probe_right",1
"209",1,0,"probe_left",1
"210",1,0,"probe_left",1
"211",1,1,"probe_left",1
"212",1,1,"probe_left",1
"213",1,1,"probe_left",2
"214",1,0,"probe_left",2
"215",1,1,"probe_right",2
"216",1,1,"probe_left",3
"217",1,0,"probe_left",2
"218",1,1,"probe_right",1
"219",1,1,"probe_right",1
"220",1,0,"probe_right",2
"221",1,1,"probe_left",3
"222",1,1,"probe_right",1
"223",1,0,"probe_left",2
"224",1,1,"probe_left",2
"225",1,1,"probe_left",1
"226",1,1,"probe_left",1
"227",1,1,"probe_right",2
"228",1,0,"probe_left",1
"229",1,1,"probe_left",2
"230",1,0,"probe_right",1
"231",1,1,"probe_left",2
"232",1,0,"probe_left",3
"233",1,1,"probe_left",2
"234",1,1,"probe_left",2
"235",1,0,"probe_left",1
"236",1,1,"probe_left",2
"237",1,1,"probe_right",1
"238",1,0,"probe_right",1
"239",1,1,"probe_left",2
"240",1,1,"probe_left",3
"241",1,1,"probe_left",2
"242",1,0,"probe_left",2
"243",1,1,"probe_left",4
"244",1,1,"probe_left",1
"245",1,1,"probe_left",3
"246",1,1,"probe_left",2
"247",1,0,"probe_left",2
"248",1,1,"probe_left",1
"249",1,0,"probe_left",2
"250",1,0,"probe_left",2
"251",1,1,"probe_left",1
