"","exp","non_directional.statistic","non_directional.p","directional_effect.statistic","directional_effect.p"
"1","Benthien & Hesselmann_2021",0.534461538461538,0.328,-0.000305961538461544,0.99
"2","Biderman & Mudrik_2018_1",0.422391304347826,0.977,-0.0201750143478261,0.122
"3","Biderman & Mudrik_2018_2",0.475511111111111,0.807,0.00300551244444445,0.7
"4","Biderman & Mudrik_2018_3",0.468622222222222,0.841,0.0243454346777778,0.022
"5","Faivre et al._2014_1_cong",0.530823529411765,0.171,48.9294117647059,0.176
"6","Faivre et al._2014_1_incong",0.520117647058824,0.449,16.6529411764706,0.776
"7","Faivre et al._2014_2_cong",0.388636363636364,0.987,-1.94318181818181,0.934
"8","Faivre et al._2014_2_incong",0.423909090909091,0.94,62.6954545454546,0.092
"9","Faivre et al._2014_3_cong",0.556952380952381,0.101,91.9380952380952,0.026
"10","Faivre et al._2014_3_incong",0.518380952380952,0.438,-24.2833333333333,0.546
"11","Faivre et al._2014_4_cong",0.439818181818182,0.88,-42.5272727272727,0.312
"12","Faivre et al._2014_4_incong",0.528454545454546,0.258,-15.9454545454545,0.446
"13","Hurme et al_2020_Masking_Blue",0.626,0.045,-22.1818181818182,0.002
"14","Hurme et al_2020_Masking_Red",0.549272727272727,0.247,-6.77272727272727,0.28
"15","Hurme et al_2020_TMS_Blue",0.5038,0.424,10.8,0.34
"16","Hurme et al_2020_TMS_Red",0.5332,0.302,12.7,0.282
"17","Noel et al_2020_A",0.481142857142857,0.667,0.00560964285714285,0.164
"18","Noel et al_2020_AV",0.644,0.004,0.0145435714285714,0
"19","Noel et al_2020_V",0.596285714285714,0.042,0.00767678571428571,0.042
"20","Skora et al_2020_1",0.393891891891892,0.978,-0.00587001914391285,0.808
"21","Skora et al_2020_2",0.538736842105263,0.299,-0.0983453863891276,0.306
"22","Stein & van Peelen_2020_3_1",0.503468085106383,0.277,0.239336486422322,0.296
"23","Stein & van Peelen_2020_3_2",0.501936170212766,0.625,-0.0327662024521063,0.926
"24","Stein & van Peelen_2020_4b_1",0.51484,0.187,0.118404536962278,0.444
"25","Zerweck et al_2021_2_20",0.4726,0.775,-0.462997500000009,0.914
"26","Zerweck et al_2021_2_29",0.4495,0.796,3.904795,0.522
"27","Zerweck et al_2021_2_39",0.5265,0.3,1.2011125,0.834
"28","Zerweck et al_2021_3_Duration_10",0.359692307692308,0.974,0.722638461538465,0.708
"29","Zerweck et al_2021_3_Duration_20",0.557090909090909,0.177,-8.50494090909089,0.0900000000000001
"30","Zerweck et al_2021_3_Duration_30",0.4205,0.752,1.06477500000002,0.74
"31","Zerweck et al_2021_3_Duration_40",0.6648,0.002,12.2882733333334,0.008
