"","Subj_idx","Response","Confidence"
"1","p26CS_121211",2,3
"2","p26CS_121211",1,3
"3","p26CS_121211",1,3
"4","p26CS_121211",1,3
"5","p26CS_121211",1,3
"6","p26CS_121211",1,3
"7","p26CS_121211",2,3
"8","p26CS_121211",1,3
"9","p26CS_121211",2,3
"10","p26CS_121211",1,3
"11","p26CS_121211",1,3
"12","p26CS_121211",2,3
"13","p26CS_121211",1,3
"14","p26CS_121211",1,3
"15","p26CS_121211",2,3
"16","p26CS_121211",1,3
"17","p26CS_121211",2,3
"18","p26CS_121211",1,3
"19","p26CS_121211",2,3
"20","p26CS_121211",1,3
"21","p26CS_121211",1,3
"22","p26CS_121211",2,3
"23","p26CS_121211",2,3
"24","p26CS_121211",2,3
"25","p26CS_121211",2,3
"26","p26CS_121211",2,3
"27","p26CS_121211",2,3
"28","p26CS_121211",1,3
"29","p26CS_121211",2,3
"30","p26CS_121211",2,3
"31","p26CS_121211",1,3
"32","p26CS_121211",1,3
"33","p26CS_121211",1,3
"34","p26CS_121211",2,3
"35","p26CS_121211",2,3
"36","p26CS_121211",1,3
"37","p26CS_121211",2,3
"38","p26CS_121211",1,3
"39","p26CS_121211",2,3
"40","p26CS_121211",2,3
"41","p26CS_121211",1,3
"42","p26CS_121211",1,3
"43","p26CS_121211",2,3
"44","p26CS_121211",2,3
"45","p26CS_121211",1,3
"46","p26CS_121211",1,3
"47","p26CS_121211",2,3
"48","p26CS_121211",1,3
"49","p26CS_121211",1,3
"50","p26CS_121211",1,3
"51","p26CS_121211",1,3
"52","p26CS_121211",1,3
"53","p26CS_121211",2,3
"54","p26CS_121211",2,3
"55","p26CS_121211",1,3
"56","p26CS_121211",1,3
"57","p26CS_121211",2,3
"58","p26CS_121211",2,3
"59","p26CS_121211",2,3
"60","p26CS_121211",1,3
"61","p26CS_121211",2,3
"62","p26CS_121211",2,3
"63","p26CS_121211",1,3
"64","p26CS_121211",1,3
"65","p26CS_121211",2,3
"66","p26CS_121211",2,3
"67","p26CS_121211",1,3
"68","p26CS_121211",2,3
"69","p26CS_121211",2,3
"70","p26CS_121211",1,3
"71","p26CS_121211",2,3
"72","p26CS_121211",2,3
"73","p26CS_121211",1,3
"74","p26CS_121211",1,3
"75","p26CS_121211",1,3
"76","p26CS_121211",1,3
"77","p26CS_121211",1,3
"78","p26CS_121211",2,3
"79","p26CS_121211",2,3
"80","p26CS_121211",1,3
"81","p26CS_121211",1,3
"82","p26CS_121211",1,3
"83","p26CS_121211",2,3
"84","p26CS_121211",1,3
"85","p26CS_121211",1,3
"86","p26CS_121211",1,3
"87","p26CS_121211",1,3
"88","p26CS_121211",1,3
"89","p26CS_121211",1,3
"90","p26CS_121211",2,3
"91","p26CS_121211",1,3
"92","p26CS_121211",1,3
"93","p26CS_121211",1,3
"94","p26CS_121211",1,3
"95","p26CS_121211",2,3
"96","p26CS_121211",1,3
"97","p26CS_121211",2,3
"98","p26CS_121211",2,3
"99","p26CS_121211",1,3
"100","p26CS_121211",2,3
"101","p26CS_121211",2,3
"102","p26CS_121211",2,3
"103","p26CS_121211",2,3
"104","p26CS_121211",2,3
"105","p26CS_121211",1,3
"106","p26CS_121211",2,3
"107","p26CS_121211",1,3
"108","p26CS_121211",1,3
"109","p26CS_121211",2,3
"110","p26CS_121211",2,3
"111","p26CS_121211",2,3
"112","p26CS_121211",1,3
"113","p26CS_121211",2,3
"114","p26CS_121211",1,3
"115","p26CS_121211",1,3
"116","p26CS_121211",1,3
"117","p26CS_121211",1,3
"118","p26CS_121211",1,3
"119","p26CS_121211",1,3
"120","p26CS_121211",2,3
"121","p26CS_121211",1,3
"122","p26CS_121211",1,3
"123","p26CS_121211",2,3
"124","p26CS_121211",1,3
"125","p26CS_121211",1,3
"126","p26CS_121211",1,3
"127","p26CS_121211",2,3
"128","p26CS_121211",2,3
"129","p26CS_121211",2,3
"130","p26CS_121211",2,3
"131","p26CS_121211",2,3
"132","p26CS_121211",2,3
"133","p26CS_121211",2,3
"134","p26CS_121211",2,3
"135","p26CS_121211",2,3
"136","p26CS_121211",1,3
"137","p26CS_121211",2,3
"138","p26CS_121211",1,3
"139","p26CS_121211",2,3
"140","p26CS_121211",2,3
"141","p26CS_121211",2,3
"142","p26CS_121211",2,3
"143","p26CS_121211",1,3
"144","p26CS_121211",2,3
"145","p26CS_121211",2,3
"146","p26CS_121211",2,3
"147","p26CS_121212",2,3
"148","p26CS_121212",1,3
"149","p26CS_121212",2,3
"150","p26CS_121212",2,3
"151","p26CS_121212",1,3
"152","p26CS_121212",1,3
"153","p26CS_121212",2,3
"154","p26CS_121212",2,3
"155","p26CS_121212",1,3
"156","p26CS_121212",1,3
"157","p26CS_121212",1,3
"158","p26CS_121212",1,3
"159","p26CS_121212",2,3
"160","p26CS_121212",2,3
"161","p26CS_121212",2,3
"162","p26CS_121212",2,3
"163","p26CS_121212",2,3
"164","p26CS_121212",1,3
"165","p26CS_121212",1,3
"166","p26CS_121212",1,3
"167","p26CS_121212",1,3
"168","p26CS_121212",1,3
"169","p26CS_121212",1,3
"170","p26CS_121212",2,3
"171","p26CS_121212",2,3
"172","p26CS_121212",2,3
"173","p26CS_121212",2,3
"174","p26CS_121212",2,3
"175","p26CS_121212",1,3
"176","p26CS_121212",1,3
"177","p26CS_121212",2,3
"178","p26CS_121212",2,3
"179","p26CS_121212",1,3
"180","p26CS_121212",1,3
"181","p26CS_121212",1,3
"182","p26CS_121212",2,3
"183","p26CS_121212",1,3
"184","p26CS_121212",1,3
"185","p26CS_121212",2,3
"186","p26CS_121212",2,3
"187","p26CS_121212",2,3
"188","p26CS_121212",1,3
"189","p26CS_121212",2,3
"190","p26CS_121212",2,3
"191","p26CS_121212",1,3
"192","p26CS_121212",1,3
"193","p26CS_121212",1,3
"194","p26CS_121212",2,3
"195","p26CS_121212",1,3
"196","p26CS_121212",2,3
"197","p26CS_121212",2,3
"198","p26CS_121212",1,3
