"","Subj_idx","Response","Confidence"
"1",1,1,4
"2",1,0,2
"3",1,0,3
"4",1,0,5
"5",1,1,3
"6",1,0,2
"7",1,1,4
"8",1,1,4
"9",1,1,6
"10",1,1,5
"11",1,1,4
"12",1,1,3
"13",1,1,4
"14",1,1,4
"15",1,0,5
"16",1,0,4
"17",1,1,3
"18",1,1,4
"19",1,1,2
"20",1,1,4
"21",1,0,4
"22",1,0,4
"23",1,1,4
"24",1,1,2
"25",1,0,3
"26",1,1,3
"27",1,1,3
"28",1,1,3
"29",1,0,3
"30",1,1,4
"31",1,0,4
"32",1,1,4
"33",1,0,4
"34",1,0,3
"35",1,1,4
"36",1,1,4
"37",1,0,4
"38",1,0,6
"39",1,0,3
"40",1,1,4
"41",1,0,6
"42",1,1,6
"43",1,0,4
"44",1,1,6
"45",1,1,4
"46",1,1,2
"47",1,1,6
"48",1,0,4
"49",1,1,4
"50",1,1,5
"51",1,0,4
"52",1,1,5
"53",1,1,5
"54",1,1,5
"55",1,0,6
"56",1,1,1
"57",1,1,6
"58",1,0,6
"59",1,0,6
"60",1,1,6
"61",1,1,5
"62",1,1,4
"63",1,0,5
"64",1,0,4
"65",1,0,4
"66",1,1,4
"67",1,1,4
"68",1,1,4
"69",1,0,5
"70",1,0,4
"71",1,0,4
"72",1,0,6
"73",1,0,5
"74",1,1,6
"75",1,1,5
"76",1,0,4
"77",1,0,4
"78",1,1,4
"79",1,1,6
"80",1,0,6
"81",1,0,4
"82",1,1,4
"83",1,0,3
"84",1,1,4
"85",1,1,5
"86",1,1,4
"87",1,0,3
"88",1,1,5
"89",1,0,3
"90",1,0,5
"91",1,1,5
"92",1,1,4
"93",1,1,6
"94",1,1,3
"95",1,0,2
"96",1,0,3
"97",1,1,4
"98",1,0,5
"99",1,0,5
"100",1,0,5
"101",1,1,6
"102",1,0,4
"103",1,1,5
"104",1,1,4
"105",1,0,5
"106",1,1,6
"107",1,1,5
"108",1,0,5
"109",1,1,5
"110",1,0,2
"111",1,0,4
"112",1,0,5
"113",1,0,5
"114",1,1,3
"115",1,0,2
"116",1,0,4
"117",1,1,4
"118",1,1,5
"119",1,1,5
"120",1,0,4
"121",1,0,1
"122",1,0,5
"123",1,1,5
"124",1,0,4
"125",1,1,2
"126",1,1,4
"127",1,0,5
"128",1,1,5
"129",1,1,5
"130",1,1,1
"131",1,1,4
"132",1,0,2
"133",1,1,4
"134",1,1,3
"135",1,1,4
"136",1,0,4
"137",1,1,4
"138",1,1,4
"139",1,0,3
"140",1,0,4
"141",1,0,2
"142",1,1,6
"143",1,1,4
"144",1,1,5
"145",1,1,5
"146",1,0,4
"147",1,1,5
"148",1,0,6
"149",1,1,5
"150",1,0,2
"151",1,0,4
"152",1,0,2
"153",1,0,4
"154",1,1,4
"155",1,0,4
"156",1,0,1
"157",1,1,5
"158",1,0,6
"159",1,1,6
"160",1,1,5
"161",1,0,6
"162",1,1,1
"163",1,1,5
"164",1,1,5
"165",1,1,2
"166",1,0,6
"167",1,1,2
"168",1,1,4
"169",1,1,5
"170",1,0,1
"171",1,0,4
"172",1,0,3
"173",1,0,4
"174",1,1,3
"175",1,0,4
"176",1,0,1
"177",1,0,3
"178",1,1,3
"179",1,1,4
"180",1,0,5
"181",1,0,4
"182",1,0,2
"183",1,0,6
"184",1,1,5
"185",1,1,4
"186",1,0,5
"187",1,0,4
"188",1,1,4
"189",1,0,4
"190",1,1,6
"191",1,1,5
"192",1,0,4
"193",1,1,4
"194",1,0,4
"195",1,0,4
"196",1,0,5
"197",1,1,4
"198",1,1,5
"199",1,0,4
"200",1,1,5
"201",2,1,6
"202",2,0,4
"203",2,1,5
"204",2,0,5
"205",2,1,2
"206",2,0,3
"207",2,1,4
"208",2,1,4
"209",2,0,6
"210",2,1,5
"211",2,1,5
"212",2,0,6
"213",2,0,4
"214",2,0,5
"215",2,1,5
"216",2,1,4
"217",2,1,4
"218",2,1,3
"219",2,1,1
"220",2,1,6
"221",2,0,2
"222",2,1,6
