"","Subj_idx","Response","Confidence"
"1",1,12,3
"2",1,12,3
"3",1,12,2
"4",1,11,3
"5",1,12,2
"6",1,11,2
"7",1,12,2
"8",1,11,3
"9",1,11,2
"10",1,11,2
"11",1,12,3
"12",1,11,1
"13",1,12,1
"14",1,11,2
"15",1,11,2
"16",1,12,2
"17",1,11,1
"18",1,10,2
"19",1,11,3
"20",1,16,1
"21",1,11,3
"22",1,11,2
"23",1,11,2
"24",1,12,3
"25",1,11,1
"26",1,12,2
"27",1,10,2
"28",1,9,1
"29",1,11,1
"30",1,12,3
"31",1,11,1
"32",1,11,1
"33",1,11,2
"34",1,11,2
"35",1,12,1
"36",1,12,2
"37",1,10,1
"38",1,11,2
"39",1,11,3
"40",1,7,1
"41",1,12,3
"42",1,11,3
"43",1,11,2
"44",1,12,3
"45",1,12,2
"46",1,12,3
"47",1,10,3
"48",1,12,2
"49",1,10,1
"50",1,11,2
"51",1,11,3
"52",1,11,3
"53",1,11,3
"54",1,4,1
"55",1,11,2
"56",1,12,1
"57",1,11,2
"58",1,12,2
"59",1,10,3
"60",1,14,1
"61",1,11,3
"62",1,11,3
"63",1,10,2
"64",1,11,2
"65",1,11,3
"66",1,10,3
"67",1,11,2
"68",1,10,1
"69",1,11,2
"70",1,10,2
"71",1,9,1
"72",1,10,1
"73",1,12,1
"74",1,11,3
"75",1,12,3
"76",1,11,3
"77",1,13,2
"78",1,11,3
"79",1,11,3
"80",1,11,3
"81",1,11,3
"82",1,11,3
"83",1,20,2
"84",1,19,3
"85",1,19,3
"86",1,20,2
"87",1,18,3
"88",1,19,3
"89",1,16,2
"90",1,19,2
"91",1,19,3
"92",1,18,2
"93",1,19,2
"94",1,19,3
"95",1,19,3
"96",1,18,1
"97",1,19,3
"98",1,19,1
"99",1,18,1
"100",1,18,2
"101",1,19,2
"102",1,19,3
"103",1,16,2
"104",1,19,3
"105",1,19,1
"106",1,18,2
"107",1,16,1
"108",1,19,3
"109",1,17,3
"110",1,19,1
"111",1,1,1
"112",1,20,2
"113",1,19,2
"114",1,20,1
"115",1,18,2
"116",1,18,2
"117",1,18,1
"118",1,21,1
"119",1,14,2
"120",1,19,3
"121",1,15,1
"122",1,17,2
"123",1,20,1
"124",1,19,3
"125",1,19,2
"126",1,19,1
"127",1,19,2
"128",1,19,3
"129",1,18,3
"130",1,19,3
"131",1,19,3
"132",1,19,3
"133",1,19,3
"134",1,19,2
"135",1,17,1
"136",1,19,1
"137",1,19,2
"138",1,17,2
"139",1,17,1
"140",1,18,2
"141",1,18,2
"142",1,13,1
"143",1,19,1
"144",1,10,1
"145",1,19,3
"146",1,17,1
"147",1,11,2
"148",1,11,2
"149",1,10,2
"150",1,11,1
"151",1,12,2
"152",1,12,3
"153",1,12,3
"154",1,11,2
"155",1,10,3
"156",1,11,1
"157",1,11,3
"158",1,10,1
"159",1,10,2
"160",1,10,3
"161",1,10,2
"162",1,11,3
"163",1,12,1
"164",1,11,2
"165",1,11,2
"166",1,13,1
"167",1,14,3
"168",1,12,2
"169",1,11,3
"170",1,12,2
"171",1,10,2
"172",1,11,3
"173",1,9,1
"174",1,11,2
"175",1,12,1
"176",1,11,3
"177",1,11,2
"178",1,11,1
"179",1,10,3
"180",1,11,3
"181",1,11,3
"182",1,12,3
"183",1,11,1
"184",1,12,1
"185",1,12,1
"186",1,11,3
"187",1,10,2
"188",1,12,2
"189",1,12,1
"190",1,12,1
"191",1,11,3
"192",1,14,1
"193",1,13,2
"194",1,11,2
"195",1,14,1
"196",1,12,2
"197",1,12,2
"198",1,12,1
"199",1,10,2
"200",1,11,3
"201",1,11,2
"202",1,12,1
"203",1,13,1
"204",1,16,1
"205",1,11,3
"206",1,11,3
"207",1,12,1
"208",1,13,1
"209",1,14,1
"210",1,11,3
"211",1,11,3
"212",1,14,1
"213",1,11,3
"214",1,11,2
"215",1,11,1
"216",1,13,1
"217",1,11,3
"218",1,11,2
"219",1,22,1
"220",1,11,3
"221",1,17,1
"222",1,10,3
"223",1,10,3
"224",1,11,3
"225",1,11,3
"226",1,11,3
"227",1,11,3
"228",1,11,2
"229",1,17,2
"230",1,17,2
"231",1,20,3
"232",1,20,1
"233",1,20,1
"234",1,17,1
"235",1,19,2
"236",1,19,3
"237",1,21,2
"238",1,1,1
"239",1,19,1
"240",1,18,3
"241",1,19,2
"242",1,19,2
"243",1,20,1
"244",1,20,2
"245",1,4,1
"246",1,17,3
"247",1,20,2
"248",1,19,2
"249",1,20,3
"250",1,18,2
"251",1,20,2
"252",1,19,1
"253",1,19,1
"254",1,17,3
"255",1,21,1
"256",1,19,3
"257",1,18,3
"258",1,16,2
"259",1,23,2
"260",1,23,1
"261",1,22,2
"262",1,19,3
"263",1,26,1
"264",1,21,1
"265",1,21,3
"266",1,16,1
"267",1,18,2
"268",1,17,2
"269",1,19,3
"270",1,19,1
"271",1,21,1
"272",1,16,1
"273",1,21,1
"274",1,23,1
"275",1,16,2
"276",1,20,3
"277",1,20,2
"278",1,19,3
"279",1,19,3
"280",1,21,2
"281",1,19,1
"282",1,22,2
"283",1,20,1
"284",1,15,1
"285",1,19,2
"286",1,20,2
"287",1,19,2
"288",1,19,2
"289",1,19,2
"290",1,21,1
"291",1,20,2
"292",1,22,1
"293",2,20,3
"294",2,19,3
"295",2,17,2
"296",2,20,3
"297",2,17,2
"298",2,19,2
"299",2,19,2
"300",2,18,3
"301",2,15,2
"302",2,17,2
"303",2,19,2
"304",2,18,2
"305",2,19,1
"306",2,27,1
"307",2,19,2
"308",2,16,2
"309",2,15,2
"310",2,13,3
"311",2,18,3
"312",2,19,3
"313",2,20,3
"314",2,19,3
"315",2,20,3
"316",2,19,3
"317",2,19,3
"318",2,20,3
"319",2,20,3
"320",2,20,1
"321",2,25,3
"322",2,20,2
"323",2,20,1
"324",2,19,3
"325",2,20,2
"326",2,23,1
"327",2,22,1
"328",2,21,2
"329",2,20,2
"330",2,20,2
"331",2,21,2
"332",2,19,1
"333",2,19,2
"334",2,20,2
"335",2,17,3
"336",2,16,2
"337",2,15,3
"338",2,20,3
"339",2,19,3
"340",2,30,1
"341",2,17,2
"342",2,20,2
"343",2,16,3
"344",2,18,2
"345",2,15,1
"346",2,17,3
"347",2,23,1
"348",2,16,2
"349",2,20,2
"350",2,18,2
"351",2,19,2
"352",2,16,2
"353",2,19,2
"354",2,10,2
"355",2,11,3
"356",2,11,2
"357",2,7,3
"358",2,11,3
"359",2,11,3
"360",2,11,3
"361",2,11,3
"362",2,11,3
"363",2,12,3
"364",2,11,3
"365",2,11,3
"366",2,11,3
"367",2,11,3
"368",2,11,3
"369",2,11,3
"370",2,11,3
"371",2,11,3
"372",2,11,3
"373",2,12,3
"374",2,11,1
"375",2,13,2
"376",2,11,3
"377",2,11,3
"378",2,11,3
"379",2,10,3
"380",2,11,3
"381",2,12,1
"382",2,11,3
"383",2,2,1
"384",2,11,3
"385",2,9,1
"386",2,10,3
"387",2,11,1
"388",2,13,3
"389",2,11,3
"390",2,10,2
"391",2,12,3
"392",2,11,3
"393",2,11,3
"394",2,12,3
"395",2,11,3
"396",2,11,3
"397",2,10,2
"398",2,11,3
"399",2,10,1
"400",2,11,3
"401",2,11,3
"402",2,11,3
"403",2,10,3
"404",2,11,3
"405",2,10,1
"406",2,12,2
"407",2,8,1
"408",2,11,2
"409",2,12,3
"410",2,11,3
"411",2,11,3
"412",2,11,3
"413",2,12,2
"414",2,15,1
"415",2,11,2
"416",2,5,1
"417",2,10,2
"418",2,11,3
"419",2,12,2
"420",2,10,2
"421",2,10,2
"422",2,11,2
"423",2,12,2
"424",2,7,3
"425",2,16,2
"426",2,10,2
"427",2,11,2
"428",2,11,2
"429",2,16,2
"430",2,10,3
"431",2,11,3
"432",2,11,3
"433",2,9,3
"434",2,11,3
"435",2,11,3
"436",2,11,3
"437",2,11,3
"438",2,8,1
"439",2,10,2
"440",2,10,2
"441",2,10,2
"442",2,20,2
"443",2,20,2
"444",2,20,3
"445",2,18,3
"446",2,19,3
"447",2,18,1
"448",2,20,1
"449",2,20,1
"450",2,19,3
"451",2,19,3
"452",2,19,3
"453",2,23,1
"454",2,18,2
"455",2,18,1
"456",2,23,2
"457",2,7,1
"458",2,19,3
"459",2,19,3
"460",2,20,2
"461",2,15,3
"462",2,18,2
"463",2,19,3
"464",2,20,2
"465",2,19,3
"466",2,2,1
"467",2,18,2
"468",2,19,1
"469",2,19,2
"470",2,17,1
"471",2,19,3
"472",2,18,3
"473",2,16,1
"474",2,19,3
"475",2,20,2
"476",2,17,1
"477",2,23,1
"478",2,21,1
"479",2,20,2
"480",2,19,3
"481",2,18,3
"482",2,17,3
"483",2,18,2
"484",2,22,1
"485",2,19,2
"486",2,17,2
"487",2,19,3
"488",2,20,1
"489",2,20,2
"490",2,20,2
"491",2,20,3
"492",2,20,2
"493",2,18,2
"494",2,20,1
"495",2,21,1
"496",2,21,2
"497",2,19,2
"498",2,22,1
"499",2,20,1
"500",2,22,1
"501",2,19,3
"502",2,21,2
"503",2,18,2
"504",2,20,2
"505",2,11,3
"506",2,11,3
"507",2,11,3
"508",2,12,3
"509",2,11,3
"510",2,11,3
"511",2,11,3
"512",2,12,2
"513",2,11,3
"514",2,11,3
"515",2,2,1
"516",2,11,3
"517",2,11,3
"518",2,12,2
"519",2,12,2
"520",2,11,3
"521",2,3,1
"522",2,11,3
"523",2,11,3
"524",2,11,3
"525",2,10,3
"526",2,11,3
"527",2,11,3
"528",2,10,1
"529",2,8,2
"530",2,12,2
"531",2,12,2
"532",2,11,3
"533",2,12,3
"534",2,10,2
"535",2,11,3
"536",2,11,3
"537",2,8,1
"538",2,11,3
"539",2,11,3
"540",2,11,3
"541",2,11,3
"542",2,10,3
"543",2,11,3
"544",2,11,3
"545",2,10,3
"546",2,5,1
"547",2,11,3
"548",2,9,3
"549",2,10,3
"550",2,13,3
"551",2,10,3
"552",2,7,1
"553",2,11,1
"554",2,11,2
"555",2,11,3
"556",2,11,3
"557",2,11,3
"558",2,10,1
"559",2,11,3
"560",2,11,3
"561",2,10,3
"562",2,11,3
"563",2,11,3
"564",2,10,3
"565",2,10,2
"566",2,11,3
"567",2,6,1
"568",2,11,1
"569",2,11,3
"570",2,11,2
"571",2,12,2
"572",2,11,2
"573",2,13,1
"574",2,12,3
"575",2,11,2
"576",2,11,2
"577",2,5,1
"578",2,11,1
"579",2,11,3
"580",2,11,3
"581",2,11,3
"582",2,11,3
"583",2,11,3
"584",2,12,3
"585",2,10,2
"586",2,11,3
"587",3,20,2
"588",3,23,1
"589",3,20,2
"590",3,17,2
"591",3,20,2
"592",3,21,2
"593",3,24,1
"594",3,22,2
"595",3,30,2
"596",3,19,2
"597",3,23,2
"598",3,23,2
"599",3,19,2
"600",3,23,1
"601",3,30,1
"602",3,28,1
"603",3,24,2
"604",3,20,2
"605",3,20,2
"606",3,21,1
"607",3,22,2
"608",3,32,1
"609",3,20,2
"610",3,21,2
"611",3,22,2
"612",3,18,2
"613",3,24,1
"614",3,23,2
"615",3,22,2
"616",3,24,2
"617",3,21,2
"618",3,30,1
"619",3,39,1
"620",3,32,2
"621",3,25,2
"622",3,34,2
"623",3,17,2
"624",3,24,2
"625",3,28,1
"626",3,22,1
"627",3,25,2
"628",3,28,1
"629",3,24,2
"630",3,21,2
"631",3,23,2
"632",3,19,2
"633",3,19,2
"634",3,21,2
"635",3,29,2
"636",3,25,2
"637",3,23,2
"638",3,31,2
"639",3,23,2
"640",3,23,2
"641",3,29,1
"642",3,12,3
"643",3,12,2
"644",3,11,3
"645",3,11,3
"646",3,11,3
"647",3,11,3
"648",3,11,2
"649",3,11,2
"650",3,13,2
"651",3,11,2
"652",3,11,3
"653",3,11,2
"654",3,11,2
"655",3,15,1
"656",3,12,2
"657",3,10,3
"658",3,11,2
"659",3,19,1
"660",3,11,2
"661",3,11,2
"662",3,10,2
"663",3,11,3
"664",3,11,2
"665",3,11,3
"666",3,11,2
"667",3,11,2
"668",3,12,2
"669",3,11,2
"670",3,13,2
"671",3,13,2
"672",3,11,2
"673",3,12,2
"674",3,12,3
"675",3,11,3
"676",3,12,3
"677",3,11,3
"678",3,12,1
"679",3,11,3
"680",3,12,3
"681",3,10,2
"682",3,12,2
"683",3,20,1
"684",3,11,2
"685",3,30,1
