"","Subj_idx","Response","Confidence"
"1",1,1,4
"2",1,2,4
"3",1,2,4
"4",1,1,2
"5",1,1,3
"6",1,1,2
"7",1,1,4
"8",1,2,2
"9",1,2,1
"10",1,2,3
"11",1,2,3
"12",1,2,4
"13",1,1,3
"14",1,2,4
"15",1,1,1
"16",1,1,3
"17",1,1,1
"18",1,2,2
"19",1,1,3
"20",1,2,2
"21",1,2,4
"22",1,2,4
"23",1,2,4
"24",1,2,1
"25",1,1,1
"26",1,1,2
"27",1,1,3
"28",1,2,2
"29",1,1,2
"30",1,1,3
"31",1,1,2
"32",1,1,1
"33",1,2,4
"34",1,1,4
"35",1,1,4
"36",1,2,4
"37",1,2,3
"38",1,2,1
"39",1,1,4
"40",1,2,4
"41",1,2,2
"42",1,1,2
"43",1,1,1
"44",1,1,1
"45",1,2,1
"46",1,2,4
"47",1,1,1
"48",1,1,4
"49",1,2,3
"50",1,2,4
"51",1,2,2
"52",1,2,3
"53",1,2,1
"54",1,2,3
"55",1,1,3
"56",1,1,1
"57",1,2,1
"58",1,2,3
"59",1,1,4
"60",1,2,2
"61",1,2,1
"62",1,2,1
"63",1,1,1
"64",1,2,4
"65",1,1,4
"66",1,1,3
"67",1,2,3
"68",1,2,1
"69",1,2,3
"70",1,1,3
"71",1,1,2
"72",1,2,2
"73",1,1,3
"74",1,2,1
"75",1,1,1
"76",1,2,4
"77",1,1,4
"78",1,2,2
"79",1,1,2
"80",1,2,4
"81",1,1,3
"82",1,1,2
"83",1,1,1
"84",1,1,4
"85",1,1,4
"86",1,1,4
"87",1,1,1
"88",1,1,1
"89",1,1,3
"90",1,2,4
"91",1,2,1
"92",1,1,2
"93",1,2,2
"94",1,1,4
"95",1,1,4
"96",1,1,1
"97",1,2,2
"98",1,2,3
"99",1,2,1
"100",1,2,4
"101",1,1,4
"102",1,2,3
"103",1,1,3
"104",1,1,1
"105",1,1,3
"106",1,1,1
"107",1,2,2
"108",1,2,3
"109",1,2,1
"110",1,2,4
"111",1,1,4
"112",1,1,3
"113",1,2,2
"114",1,1,3
"115",1,1,2
"116",1,1,4
"117",1,1,4
"118",1,2,1
"119",1,2,2
"120",1,1,1
