"","Subj_idx","Response","Confidence"
"1",1,2,1
"2",1,2,1
"3",1,2,1
"4",1,2,2
"5",1,1,2
"6",1,2,2
"7",1,1,2
"8",1,2,2
"9",1,1,3
"10",1,2,2
"11",1,1,1
"12",1,2,3
"13",1,1,2
"14",1,2,4
"15",1,2,2
"16",1,1,3
"17",1,2,2
"18",1,1,4
"19",1,2,1
"20",1,2,1
"21",1,1,3
"22",1,2,2
"23",1,1,3
"24",1,1,3
"25",1,2,1
"26",1,2,1
"27",1,2,1
"28",1,2,1
"29",1,1,3
"30",1,1,2
"31",1,2,1
"32",1,1,1
"33",1,2,2
"34",1,1,3
"35",1,1,3
"36",1,2,1
"37",1,2,2
"38",1,2,1
"39",1,2,1
"40",1,2,1
"41",1,2,3
"42",1,1,2
"43",1,1,3
"44",1,1,3
"45",1,1,3
"46",1,1,2
"47",1,1,3
"48",1,1,3
"49",1,1,3
"50",1,2,1
"51",1,1,3
"52",1,2,2
"53",1,1,4
"54",1,2,4
"55",1,2,2
"56",1,1,3
"57",1,2,1
"58",1,2,1
"59",1,1,1
"60",1,2,2
"61",1,2,1
"62",1,1,3
"63",1,1,4
"64",1,1,3
"65",1,2,1
"66",1,2,1
"67",1,1,3
"68",1,2,3
"69",1,2,1
"70",1,1,2
"71",1,2,1
"72",1,1,3
"73",1,1,2
"74",1,2,2
"75",1,2,2
"76",1,2,3
"77",1,2,4
"78",1,2,3
"79",1,2,3
"80",1,1,3
"81",1,1,1
"82",1,2,3
"83",1,1,3
"84",1,1,2
"85",1,2,2
"86",1,2,1
"87",1,2,1
"88",1,2,3
"89",1,1,1
"90",1,2,2
"91",1,2,2
"92",1,2,2
"93",1,2,3
"94",1,2,3
"95",1,2,3
"96",1,1,1
"97",1,1,1
"98",1,1,3
"99",1,2,2
"100",1,1,3
"101",1,2,1
"102",1,2,1
"103",1,1,3
"104",1,2,1
"105",1,1,1
"106",1,1,1
"107",1,2,1
"108",1,1,3
"109",1,2,2
"110",1,1,2
"111",1,1,2
"112",1,2,1
"113",1,1,1
"114",1,2,2
"115",1,1,3
"116",1,1,1
"117",1,1,1
"118",1,1,3
"119",1,2,3
"120",1,1,2
"121",1,2,2
